H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.15,mixed_fbm,250,125,0.2,0.008,both,2.702548,2.88491,8.55775
0.63,fbm,250,250,1.0,1.0,both,,0.641783,4.518357
0.64,fbm,250,250,1.0,1.0,both,,0.73456,5.174116
0.65,fbm,250,250,1.0,1.0,both,,0.832571,5.865729
0.04,fbm,500,500,1.0,1.0,both,,178.956588,448.477946
0.66,fbm,250,250,1.0,1.0,both,,0.935698,6.591903
0.09,mixed_fbm,250,125,1.0,0.008,both,40.904266,20.389357,48.584608
0.16,mixed_fbm,250,125,0.2,0.008,both,2.263711,2.468555,7.541742
0.67,fbm,250,250,1.0,1.0,both,,1.043839,7.351414
0.68,fbm,250,250,1.0,1.0,both,,1.156899,8.143104
0.69,fbm,250,250,1.0,1.0,both,,1.274796,8.965876
0.17,mixed_fbm,250,125,0.2,0.008,both,1.884554,2.106429,6.62406
0.7,fbm,250,250,1.0,1.0,both,,1.397461,9.818694
0.1,mixed_fbm,250,125,1.0,0.008,both,37.631843,18.274774,44.753103
0.71,fbm,250,250,1.0,1.0,both,,1.524825,10.700576
0.18,mixed_fbm,250,125,0.2,0.008,both,1.559154,1.792428,5.79775
0.72,fbm,250,250,1.0,1.0,both,,1.656835,11.610595
0.73,fbm,250,250,1.0,1.0,both,,1.793444,12.547874
0.19,mixed_fbm,250,125,0.2,0.008,both,1.281812,1.520886,5.056173
0.74,fbm,250,250,1.0,1.0,both,,1.934612,13.511586
0.11,mixed_fbm,250,125,1.0,0.008,both,34.591459,16.376823,41.217417
0.75,fbm,250,250,1.0,1.0,both,,2.080315,14.50095
0.03,mixed_fbm,500,250,0.2,0.004,both,47.635571,39.775468,86.625876
0.2,mixed_fbm,250,125,0.2,0.008,both,1.047087,1.28663,4.392961
0.76,fbm,250,250,1.0,1.0,both,,2.230527,15.515232
0.12,mixed_fbm,250,125,1.0,0.008,both,31.761445,14.669806,37.943616
0.77,fbm,250,250,1.0,1.0,both,,2.38524,16.553742
0.21,mixed_fbm,250,125,0.2,0.008,both,0.849846,1.085158,3.801999
0.78,fbm,250,250,1.0,1.0,both,,2.544453,17.615835
0.22,mixed_fbm,250,125,0.2,0.008,both,0.685294,0.912492,3.277408
0.79,fbm,250,250,1.0,1.0,both,,2.70818,18.70091
0.13,mixed_fbm,250,125,1.0,0.008,both,29.123807,13.132406,34.904437
0.8,fbm,250,250,1.0,1.0,both,,2.876441,19.808407
0.05,fbm,500,500,1.0,1.0,both,,154.194417,403.346167
0.23,mixed_fbm,250,125,0.2,0.008,both,0.549006,0.764773,2.813559
0.81,fbm,250,250,1.0,1.0,both,,3.049311,20.937815
0.24,mixed_fbm,250,125,0.2,0.008,both,0.436942,0.638843,2.405059
0.82,fbm,250,250,1.0,1.0,both,,3.226821,22.088668
0.25,mixed_fbm,250,125,0.2,0.008,both,0.345463,0.531881,2.046782
0.14,mixed_fbm,250,125,1.0,0.008,both,26.663389,11.746572,32.077568
0.83,fbm,250,250,1.0,1.0,both,,3.409072,23.260549
0.06,fbm,500,500,1.0,1.0,both,,133.80543,365.465242
0.84,fbm,250,250,1.0,1.0,both,,3.59618,24.453096
0.26,mixed_fbm,250,125,0.2,0.008,both,0.271325,0.441215,1.733869
0.15,mixed_fbm,250,125,1.0,0.008,both,24.367258,10.496751,29.444454
0.85,fbm,250,250,1.0,1.0,both,,3.788287,25.666005
0.27,mixed_fbm,250,125,0.2,0.008,both,0.211668,0.364625,1.461746
0.04,mixed_fbm,500,250,0.2,0.004,both,42.575388,34.232489,78.108095
0.86,fbm,250,250,1.0,1.0,both,,3.985666,26.899043
0.16,mixed_fbm,250,125,1.0,0.008,both,22.224245,9.369363,26.989442
0.07,fbm,500,500,1.0,1.0,both,,116.616793,332.768468
0.28,mixed_fbm,250,125,0.2,0.008,both,0.164007,0.300178,1.226127
0.87,fbm,250,250,1.0,1.0,both,,4.188504,28.152057
0.88,fbm,250,250,1.0,1.0,both,,4.397172,29.424994
0.17,mixed_fbm,250,125,1.0,0.008,both,20.2246,8.352424,24.69915
0.29,mixed_fbm,250,125,0.2,0.008,both,0.126196,0.245934,1.023026
0.89,fbm,250,250,1.0,1.0,both,,4.612103,30.717927
0.08,fbm,500,500,1.0,1.0,both,,101.908317,303.999023
0.3,mixed_fbm,250,125,0.2,0.008,both,0.096413,0.20073,0.848757
0.18,mixed_fbm,250,125,1.0,0.008,both,18.35972,7.435277,22.562003
0.9,fbm,250,250,1.0,1.0,both,,4.833802,32.031095
0.31,mixed_fbm,250,125,0.2,0.008,both,0.073117,0.162909,0.699932
0.91,fbm,250,250,1.0,1.0,both,,5.063524,33.364965
0.19,mixed_fbm,250,125,1.0,0.008,both,16.621945,6.608393,20.567878
0.32,mixed_fbm,250,125,0.2,0.008,both,0.055025,0.131802,0.573457
0.92,fbm,250,250,1.0,1.0,both,,5.301736,34.720331
0.09,fbm,500,500,1.0,1.0,both,,89.200034,278.334567
0.2,mixed_fbm,250,125,1.0,0.008,both,15.00439,5.863214,18.707834
0.93,fbm,250,250,1.0,1.0,both,,5.549174,36.098479
0.33,mixed_fbm,250,125,0.2,0.008,both,0.041075,0.105832,0.466525
0.34,mixed_fbm,250,125,0.2,0.008,both,0.030397,0.084419,0.376603
0.21,mixed_fbm,250,125,1.0,0.008,both,13.50081,5.19204,16.973901
0.05,mixed_fbm,500,250,0.2,0.004,both,37.93608,29.521475,70.506908
0.1,fbm,500,500,1.0,1.0,both,,78.150797,255.206731
0.35,mixed_fbm,250,125,0.2,0.008,both,0.022286,0.066838,0.301416
0.22,mixed_fbm,250,125,1.0,0.008,both,12.105496,4.587924,15.35891
0.36,mixed_fbm,250,125,0.2,0.008,both,0.016173,0.052473,0.238936
0.11,fbm,500,500,1.0,1.0,both,,68.505089,234.205407
0.37,mixed_fbm,250,125,0.2,0.008,both,0.011604,0.040796,0.187362
0.23,mixed_fbm,250,125,1.0,0.008,both,10.813184,4.044598,13.856363
0.38,mixed_fbm,250,125,0.2,0.008,both,0.00822,0.031361,0.145103
0.24,mixed_fbm,250,125,1.0,0.008,both,9.618978,3.556397,12.460328
0.12,fbm,500,500,1.0,1.0,both,,60.063138,215.024122
0.39,mixed_fbm,250,125,0.2,0.008,both,0.005737,0.023788,0.110763
0.4,mixed_fbm,250,125,0.2,0.008,both,0.003936,0.017759,0.083119
