H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.64,mixed_fbm,750,375,0.2,0.002667,both,0.000177,0.002598,0.033558
0.65,mixed_fbm,750,375,0.2,0.002667,both,0.000167,0.002708,0.03407
0.66,mixed_fbm,750,375,0.2,0.002667,both,0.000157,0.002804,0.034281
0.67,mixed_fbm,750,375,0.2,0.002667,both,0.000146,0.002886,0.034222
0.66,fbm,1000,1000,1.0,1.0,both,,1.659268,26.314181
0.68,mixed_fbm,750,375,0.2,0.002667,both,0.000136,0.002956,0.033925
0.69,mixed_fbm,750,375,0.2,0.002667,both,0.000126,0.003015,0.033422
0.7,mixed_fbm,750,375,0.2,0.002667,both,0.000117,0.003064,0.032742
0.71,mixed_fbm,750,375,0.2,0.002667,both,0.000108,0.003103,0.031914
0.67,fbm,1000,1000,1.0,1.0,both,,1.855141,29.331823
0.72,mixed_fbm,750,375,0.2,0.002667,both,0.0001,0.003135,0.030964
0.73,mixed_fbm,750,375,0.2,0.002667,both,9.3e-05,0.003159,0.029917
0.74,mixed_fbm,750,375,0.2,0.002667,both,8.6e-05,0.003177,0.028794
0.75,mixed_fbm,750,375,0.2,0.002667,both,8e-05,0.00319,0.027616
0.68,fbm,1000,1000,1.0,1.0,both,,2.060916,32.475261
0.76,mixed_fbm,750,375,0.2,0.002667,both,7.4e-05,0.003198,0.026399
0.77,mixed_fbm,750,375,0.2,0.002667,both,6.9e-05,3.6e-05,0.025159
0.78,mixed_fbm,750,375,0.2,0.002667,both,6.5e-05,3.6e-05,0.02391
0.79,mixed_fbm,750,375,0.2,0.002667,both,6e-05,3.5e-05,0.022663
0.69,fbm,1000,1000,1.0,1.0,both,,2.276336,35.740008
0.06,fbm,1250,1250,1.0,1.0,both,,314.415685,980.15826
0.8,mixed_fbm,750,375,0.2,0.002667,both,5.7e-05,3.4e-05,0.021427
0.81,mixed_fbm,750,375,0.2,0.002667,both,5.3e-05,3.4e-05,0.0
0.82,mixed_fbm,750,375,0.2,0.002667,both,5e-05,3.3e-05,-0.0
0.83,mixed_fbm,750,375,0.2,0.002667,both,4.7e-05,3.2e-05,0.0
0.84,mixed_fbm,750,375,0.2,0.002667,both,4.5e-05,3.2e-05,-0.0
0.85,mixed_fbm,750,375,0.2,0.002667,both,4.3e-05,3.1e-05,-0.0
0.86,mixed_fbm,750,375,0.2,0.002667,both,4.1e-05,3e-05,0.0
0.87,mixed_fbm,750,375,0.2,0.002667,both,3.9e-05,3e-05,0.0
0.88,mixed_fbm,750,375,0.2,0.002667,both,3.7e-05,2.9e-05,-0.0
0.89,mixed_fbm,750,375,0.2,0.002667,both,3.6e-05,2.8e-05,0.0
0.9,mixed_fbm,750,375,0.2,0.002667,both,3.4e-05,2.8e-05,-0.0
0.91,mixed_fbm,750,375,0.2,0.002667,both,3.3e-05,2.7e-05,0.0
0.92,mixed_fbm,750,375,0.2,0.002667,both,3.2e-05,2.6e-05,-0.0
0.93,mixed_fbm,750,375,0.2,0.002667,both,3e-05,2.6e-05,-0.0
0.94,mixed_fbm,750,375,0.2,0.002667,both,2.9e-05,2.5e-05,0.0
0.7,fbm,1000,1000,1.0,1.0,both,,2.501379,39.121813
0.95,mixed_fbm,750,375,0.2,0.002667,both,2.8e-05,2.5e-05,-0.0
0.96,mixed_fbm,750,375,0.2,0.002667,both,2.8e-05,2.4e-05,-0.0
0.97,mixed_fbm,750,375,0.2,0.002667,both,2.7e-05,2.3e-05,0.0
0.98,mixed_fbm,750,375,0.2,0.002667,both,2.6e-05,2.3e-05,-0.0
0.71,fbm,1000,1000,1.0,1.0,both,,2.735945,42.616641
0.72,fbm,1000,1000,1.0,1.0,both,,2.979878,46.220666
0.73,fbm,1000,1000,1.0,1.0,both,,3.2336,49.930257
0.07,fbm,1250,1250,1.0,1.0,both,,269.693459,890.614488
0.74,fbm,1000,1000,1.0,1.0,both,,3.496457,53.741963
0.75,fbm,1000,1000,1.0,1.0,both,,3.768576,57.65251
0.01,mixed_fbm,500,250,5.0,0.004,both,298.505143,151.341589,273.267601
0.08,fbm,1250,1250,1.0,1.0,both,,231.807805,811.898453
0.04,fbm,1500,1500,1.0,1.0,both,,516.212489,1467.611219
0.09,fbm,1250,1250,1.0,1.0,both,,199.458263,741.7519
0.1,fbm,1250,1250,1.0,1.0,both,,171.707905,678.619053
0.11,fbm,1250,1250,1.0,1.0,both,,147.842581,621.378754
0.12,fbm,1250,1250,1.0,1.0,both,,127.293458,569.192713
0.05,fbm,1500,1500,1.0,1.0,both,,437.000738,1316.623171
0.13,fbm,1250,1250,1.0,1.0,both,,109.59232,521.41438
0.14,fbm,1250,1250,1.0,1.0,both,,94.344782,477.531595
0.01,mixed_fbm,500,250,10.0,0.004,both,312.487856,153.90147,276.745474
0.15,fbm,1250,1250,1.0,1.0,both,,81.213638,437.129107
0.16,fbm,1250,1250,1.0,1.0,both,,69.908048,399.863302
0.06,fbm,1500,1500,1.0,1.0,both,,372.311093,1190.078065
0.17,fbm,1250,1250,1.0,1.0,both,,60.1761,365.444705
0.18,fbm,1250,1250,1.0,1.0,both,,51.799348,333.625594
0.19,fbm,1250,1250,1.0,1.0,both,,44.588509,304.191064
0.2,fbm,1250,1250,1.0,1.0,both,,38.379861,276.952467
0.21,fbm,1250,1250,1.0,1.0,both,,33.032107,251.742518
0.22,fbm,1250,1250,1.0,1.0,both,,28.423586,228.411601
0.23,fbm,1250,1250,1.0,1.0,both,,24.449764,206.82493
0.07,fbm,1500,1500,1.0,1.0,both,,318.319581,1080.96074
0.24,fbm,1250,1250,1.0,1.0,both,,21.020978,186.860349
0.25,fbm,1250,1250,1.0,1.0,both,,18.060428,168.406592
0.26,fbm,1250,1250,1.0,1.0,both,,15.502392,151.361899
0.27,fbm,1250,1250,1.0,1.0,both,,13.290664,135.63289
0.02,mixed_fbm,500,250,1.0,0.004,both,176.658597,97.778812,175.056441
0.28,fbm,1250,1250,1.0,1.0,both,,11.377183,121.133643
0.29,fbm,1250,1250,1.0,1.0,both,,9.720854,107.784925
0.3,fbm,1250,1250,1.0,1.0,both,,8.286528,95.513539
0.08,fbm,1500,1500,1.0,1.0,both,,272.675643,985.045274
0.31,fbm,1250,1250,1.0,1.0,both,,7.044129,84.251766
0.01,mixed_fbm,1000,500,0.2,0.002,both,170.321734,131.948123,275.861273
0.32,fbm,1250,1250,1.0,1.0,both,,5.967908,73.936883
0.33,fbm,1250,1250,1.0,1.0,both,,5.035804,64.510738
0.34,fbm,1250,1250,1.0,1.0,both,,4.228903,55.919372
0.09,fbm,1500,1500,1.0,1.0,both,,233.797114,899.583478
0.35,fbm,1250,1250,1.0,1.0,both,,3.530978,48.112686
0.36,fbm,1250,1250,1.0,1.0,both,,2.928096,41.044131
0.37,fbm,1250,1250,1.0,1.0,both,,2.408286,34.67044
0.38,fbm,1250,1250,1.0,1.0,both,,1.961253,28.951375
0.39,fbm,1250,1250,1.0,1.0,both,,1.578142,23.849493
0.1,fbm,1500,1500,1.0,1.0,both,,200.53995,822.682443
0.4,fbm,1250,1250,1.0,1.0,both,,1.251327,19.329945
0.41,fbm,1250,1250,1.0,1.0,both,,0.974245,15.360272
0.42,fbm,1250,1250,1.0,1.0,both,,0.741237,11.910234
0.43,fbm,1250,1250,1.0,1.0,both,,0.547432,8.951644
0.11,fbm,1500,1500,1.0,1.0,both,,172.028529,752.977874
0.44,fbm,1250,1250,1.0,1.0,both,,0.388629,6.458213
0.45,fbm,1250,1250,1.0,1.0,both,,0.261212,4.405412
0.46,fbm,1250,1250,1.0,1.0,both,,0.162067,2.770343
0.47,fbm,1250,1250,1.0,1.0,both,,0.088515,1.531618
0.48,fbm,1250,1250,1.0,1.0,both,,0.038256,0.669247
0.49,fbm,1250,1250,1.0,1.0,both,,0.009314,0.164538
0.5,fbm,1250,1250,1.0,1.0,both,,0.0,0.0
0.51,fbm,1250,1250,1.0,1.0,both,,0.008871,0.159257
0.52,fbm,1250,1250,1.0,1.0,both,,0.034697,0.626967
0.53,fbm,1250,1250,1.0,1.0,both,,0.076437,1.388748
0.12,fbm,1500,1500,1.0,1.0,both,,147.562662,689.449224
0.54,fbm,1250,1250,1.0,1.0,both,,0.133208,2.431106
0.55,fbm,1250,1250,1.0,1.0,both,,0.204275,3.741377
0.56,fbm,1250,1250,1.0,1.0,both,,0.28901,5.307661
0.57,fbm,1250,1250,1.0,1.0,both,,0.386897,7.118775
0.13,fbm,1500,1500,1.0,1.0,both,,126.564218,631.308782
0.58,fbm,1250,1250,1.0,1.0,both,,0.497512,9.164198
0.59,fbm,1250,1250,1.0,1.0,both,,0.620495,11.434026
0.14,fbm,1500,1500,1.0,1.0,both,,108.545285,577.93195
0.6,fbm,1250,1250,1.0,1.0,both,,0.755555,13.91893
0.61,fbm,1250,1250,1.0,1.0,both,,0.902448,16.610116
0.62,fbm,1250,1250,1.0,1.0,both,,1.060962,19.499289
0.15,fbm,1500,1500,1.0,1.0,both,,93.088437,528.811713
0.63,fbm,1250,1250,1.0,1.0,both,,1.231001,22.578619
0.64,fbm,1250,1250,1.0,1.0,both,,1.412351,25.84071
0.65,fbm,1250,1250,1.0,1.0,both,,1.604921,29.278571
0.16,fbm,1500,1500,1.0,1.0,both,,79.833875,483.527975
0.66,fbm,1250,1250,1.0,1.0,both,,1.808593,32.88559
0.67,fbm,1250,1250,1.0,1.0,both,,2.023214,36.655509
0.17,fbm,1500,1500,1.0,1.0,both,,68.470514,441.726352
0.03,mixed_fbm,500,250,1.0,0.004,both,160.54567,84.425325,187.679918
0.68,fbm,1250,1250,1.0,1.0,both,,2.249052,40.582404
0.04,mixed_fbm,500,250,1.0,0.004,both,146.576696,73.723589,170.045691
0.02,mixed_fbm,500,250,5.0,0.004,both,255.628026,123.023409,246.254317
0.69,fbm,1250,1250,1.0,1.0,both,,2.485625,44.660658
0.18,fbm,1500,1500,1.0,1.0,both,,58.729316,403.103173
0.02,mixed_fbm,1000,500,0.2,0.002,both,153.335175,109.864329,245.598439
0.05,mixed_fbm,500,250,1.0,0.004,both,134.222751,64.797828,154.954221
0.7,fbm,1250,1250,1.0,1.0,both,,2.732992,48.884948
0.06,mixed_fbm,500,250,1.0,0.004,both,123.142902,57.181405,141.72617
0.71,fbm,1250,1250,1.0,1.0,both,,2.99102,53.250224
0.19,fbm,1500,1500,1.0,1.0,both,,50.377937,367.394675
0.07,mixed_fbm,500,250,1.0,0.004,both,113.103935,50.578703,129.94095
0.01,mixed_fbm,750,375,1.0,0.002667,both,322.787898,179.819386,296.169632
0.72,fbm,1250,1250,1.0,1.0,both,,3.25946,57.751695
0.08,mixed_fbm,500,250,1.0,0.004,both,103.93886,44.799417,119.318154
0.2,fbm,1500,1500,1.0,1.0,both,,43.216179,334.369065
0.09,mixed_fbm,500,250,1.0,0.004,both,95.523654,39.707663,109.660532
0.1,mixed_fbm,500,250,1.0,0.004,both,87.763389,35.201292,100.823489
0.11,mixed_fbm,500,250,1.0,0.004,both,80.583539,31.203999,92.697465
0.21,fbm,1500,1500,1.0,1.0,both,,37.071986,303.820622
0.03,mixed_fbm,1000,500,0.2,0.002,both,137.895082,92.46219,220.551551
0.12,mixed_fbm,500,250,1.0,0.004,both,73.924303,27.650125,85.197141
0.13,mixed_fbm,500,250,1.0,0.004,both,67.736764,24.487331,78.254507
0.14,mixed_fbm,500,250,1.0,0.004,both,61.98023,21.671139,71.814247
0.22,fbm,1500,1500,1.0,1.0,both,,31.797852,275.565227
0.15,mixed_fbm,500,250,1.0,0.004,both,56.620338,19.162852,65.83056
0.16,mixed_fbm,500,250,1.0,0.004,both,51.627673,16.928846,60.26492
0.17,mixed_fbm,500,250,1.0,0.004,both,46.976749,14.938639,55.084462
0.18,mixed_fbm,500,250,1.0,0.004,both,42.645241,13.16756,50.260789
0.23,fbm,1500,1500,1.0,1.0,both,,27.267596,249.43694
0.19,mixed_fbm,500,250,1.0,0.004,both,38.613403,11.591164,45.769086
0.2,mixed_fbm,500,250,1.0,0.004,both,34.86361,10.188267,41.587448
0.21,mixed_fbm,500,250,1.0,0.004,both,31.380001,8.940445,37.696358
0.04,mixed_fbm,1000,500,0.2,0.002,both,123.801126,78.368949,198.859057
0.22,mixed_fbm,500,250,1.0,0.004,both,28.148195,7.831182,34.078285
0.23,mixed_fbm,500,250,1.0,0.004,both,25.155061,6.845374,30.717366
0.24,mixed_fbm,500,250,1.0,0.004,both,22.388523,5.96974,27.599151
0.25,mixed_fbm,500,250,1.0,0.004,both,19.837399,5.1929,24.710397
0.24,fbm,1500,1500,1.0,1.0,both,,23.37347,225.285333
0.26,mixed_fbm,500,250,1.0,0.004,both,17.491258,4.504264,22.038897
0.27,mixed_fbm,500,250,1.0,0.004,both,15.3403,3.894187,19.573337
0.28,mixed_fbm,500,250,1.0,0.004,both,13.375237,3.354704,17.303174
0.29,mixed_fbm,500,250,1.0,0.004,both,11.58719,2.878233,15.218532
0.3,mixed_fbm,500,250,1.0,0.004,both,9.96759,2.458462,13.310102
0.25,fbm,1500,1500,1.0,1.0,both,,20.023585,202.973395
0.31,mixed_fbm,500,250,1.0,0.004,both,8.508085,2.08894,11.56906
0.32,mixed_fbm,500,250,1.0,0.004,both,7.20045,1.764739,9.986983
0.33,mixed_fbm,500,250,1.0,0.004,both,6.036508,1.481169,8.555775
0.34,mixed_fbm,500,250,1.0,0.004,both,5.008054,1.234028,7.267598
0.35,mixed_fbm,500,250,1.0,0.004,both,4.106796,1.019539,6.114802
0.36,mixed_fbm,500,250,1.0,0.004,both,3.324308,0.834303,5.089866
0.37,mixed_fbm,500,250,1.0,0.004,both,2.652,0.675248,4.185346
0.26,fbm,1500,1500,1.0,1.0,both,,17.139654,182.375843
0.38,mixed_fbm,500,250,1.0,0.004,both,2.081116,0.53959,3.393823
0.39,mixed_fbm,500,250,1.0,0.004,both,1.602752,0.424801,2.707858
0.4,mixed_fbm,500,250,1.0,0.004,both,1.207904,0.328572,2.120028
0.41,mixed_fbm,500,250,1.0,0.004,both,0.887545,0.248797,1.622792
0.42,mixed_fbm,500,250,1.0,0.004,both,0.632719,0.183543,1.208626
0.43,mixed_fbm,500,250,1.0,0.004,both,0.434666,0.131039,0.869973
0.44,mixed_fbm,500,250,1.0,0.004,both,0.284947,0.089656,0.599308
0.45,mixed_fbm,500,250,1.0,0.004,both,0.175578,0.057905,0.389176
0.46,mixed_fbm,500,250,1.0,0.004,both,0.099152,0.03442,0.232271
0.47,mixed_fbm,500,250,1.0,0.004,both,0.048944,0.017959,0.12151
0.27,fbm,1500,1500,1.0,1.0,both,,14.655002,163.377757
0.48,mixed_fbm,500,250,1.0,0.004,both,0.018988,0.007395,0.050089
0.49,mixed_fbm,500,250,1.0,0.004,both,0.004122,0.001711,0.011579
0.5,mixed_fbm,500,250,1.0,0.004,both,0.0,0.0,0.0
0.51,mixed_fbm,500,250,1.0,0.004,both,0.003065,0.00146,0.009833
0.52,mixed_fbm,500,250,1.0,0.004,both,0.010501,0.005385,0.036123
0.53,mixed_fbm,500,250,1.0,0.004,both,0.02016,0.011168,0.07445
0.54,mixed_fbm,500,250,1.0,0.004,both,0.030475,0.018285,0.120972
0.55,mixed_fbm,500,250,1.0,0.004,both,0.040362,0.026297,0.172403
0.56,mixed_fbm,500,250,1.0,0.004,both,0.049133,0.034838,0.225996
0.57,mixed_fbm,500,250,1.0,0.004,both,0.056406,0.04361,0.279508
0.58,mixed_fbm,500,250,1.0,0.004,both,0.062023,0.052374,0.331161
0.59,mixed_fbm,500,250,1.0,0.004,both,0.06599,0.060942,0.379595
0.6,mixed_fbm,500,250,1.0,0.004,both,0.068416,0.069172,0.423814
0.61,mixed_fbm,500,250,1.0,0.004,both,0.069476,0.07696,0.463142
0.62,mixed_fbm,500,250,1.0,0.004,both,0.069375,0.084234,0.497168
0.28,fbm,1500,1500,1.0,1.0,both,,12.512859,145.873455
0.63,mixed_fbm,500,250,1.0,0.004,both,0.068323,0.090949,0.525705
0.64,mixed_fbm,500,250,1.0,0.004,both,0.066528,0.097079,0.548741
0.65,mixed_fbm,500,250,1.0,0.004,both,0.064175,0.102617,0.566493
0.66,mixed_fbm,500,250,1.0,0.004,both,0.06143,0.107569,0.579049
0.67,mixed_fbm,500,250,1.0,0.004,both,0.058433,0.111951,0.586789
0.05,mixed_fbm,1000,500,0.2,0.002,both,110.900982,66.726407,179.6369
0.68,mixed_fbm,500,250,1.0,0.004,both,0.055301,0.115786,0.590081
0.69,mixed_fbm,500,250,1.0,0.004,both,0.052125,0.119102,0.589328
0.7,mixed_fbm,500,250,1.0,0.004,both,0.048979,0.121932,0.584947
0.29,fbm,1500,1500,1.0,1.0,both,,10.664875,129.765545
0.02,mixed_fbm,500,250,10.0,0.004,both,263.901413,124.43895,263.631987
0.71,mixed_fbm,500,250,1.0,0.004,both,0.045917,0.122959,0.577358
0.72,mixed_fbm,500,250,1.0,0.004,both,0.042978,0.12427,0.566976
0.73,mixed_fbm,500,250,1.0,0.004,both,0.040189,0.124405,0.554201
0.74,mixed_fbm,500,250,1.0,0.004,both,0.037567,0.125998,0.53941
0.75,mixed_fbm,500,250,1.0,0.004,both,0.035119,0.126492,0.52296
0.76,mixed_fbm,500,250,1.0,0.004,both,0.032849,0.127528,0.505178
0.77,mixed_fbm,500,250,1.0,0.004,both,0.030754,0.12884,0.486364
0.78,mixed_fbm,500,250,1.0,0.004,both,0.028829,0.128591,0.46679
0.79,mixed_fbm,500,250,1.0,0.004,both,0.027066,0.126539,0.446699
0.3,fbm,1500,1500,1.0,1.0,both,,9.069863,114.964132
0.8,mixed_fbm,500,250,1.0,0.004,both,0.025456,0.1281,0.426307
0.81,mixed_fbm,500,250,1.0,0.004,both,0.023988,0.127819,0.405803
0.82,mixed_fbm,500,250,1.0,0.004,both,0.022652,0.126653,0.385355
0.83,mixed_fbm,500,250,1.0,0.004,both,0.021438,0.125164,0.365102
0.84,mixed_fbm,500,250,1.0,0.004,both,0.020335,0.12403,0.345167
0.85,mixed_fbm,500,250,1.0,0.004,both,0.019333,0.124038,0.32565
0.31,fbm,1500,1500,1.0,1.0,both,,7.692715,101.38612
0.86,mixed_fbm,500,250,1.0,0.004,both,0.018423,0.123922,0.306635
0.87,mixed_fbm,500,250,1.0,0.004,both,0.017597,0.120784,0.28819
0.88,mixed_fbm,500,250,1.0,0.004,both,0.016845,0.121503,0.270369
0.32,fbm,1500,1500,1.0,1.0,both,,6.503487,88.95462
0.89,mixed_fbm,500,250,1.0,0.004,both,0.016161,0.118724,0.253211
0.9,mixed_fbm,500,250,1.0,0.004,both,0.015537,0.118083,0.236746
0.91,mixed_fbm,500,250,1.0,0.004,both,0.014968,0.117341,0.220995
0.92,mixed_fbm,500,250,1.0,0.004,both,0.014448,0.116898,0.205967
0.93,mixed_fbm,500,250,1.0,0.004,both,0.013971,0.116053,0.191668
0.33,fbm,1500,1500,1.0,1.0,both,,5.476617,77.598418
0.06,mixed_fbm,1000,500,0.2,0.002,both,99.075872,56.972042,162.370063
0.94,mixed_fbm,500,250,1.0,0.004,both,0.013534,0.114166,0.178093
0.95,mixed_fbm,500,250,1.0,0.004,both,0.013132,0.113103,0.165236
0.96,mixed_fbm,500,250,1.0,0.004,both,0.012761,0.112246,0.15307
0.97,mixed_fbm,500,250,1.0,0.004,both,0.012419,0.111398,0.141578
0.98,mixed_fbm,500,250,1.0,0.004,both,0.012101,0.108399,0.130756
0.34,fbm,1500,1500,1.0,1.0,both,,4.590273,67.251505
0.35,fbm,1500,1500,1.0,1.0,both,,3.825787,57.852658
0.07,mixed_fbm,1000,500,0.2,0.002,both,88.231053,48.717754,146.723531
0.36,fbm,1500,1500,1.0,1.0,both,,3.167187,49.345059
0.37,fbm,1500,1500,1.0,1.0,both,,2.600796,41.675949
0.38,fbm,1500,1500,1.0,1.0,both,,2.114897,34.796315
0.08,mixed_fbm,1000,500,0.2,0.002,both,78.289331,41.684294,132.463397
0.39,fbm,1500,1500,1.0,1.0,both,,1.699439,28.660601
0.01,mixed_fbm,750,375,5.0,0.002667,both,475.428545,231.588006,410.455152
0.4,fbm,1500,1500,1.0,1.0,both,,1.345802,23.226444
0.41,fbm,1500,1500,1.0,1.0,both,,1.046586,18.45443
0.09,mixed_fbm,1000,500,0.2,0.002,both,69.186478,35.661073,119.417908
0.42,fbm,1500,1500,1.0,1.0,both,,0.795437,14.307874
0.43,fbm,1500,1500,1.0,1.0,both,,0.586902,10.752609
0.03,mixed_fbm,500,250,5.0,0.004,both,225.467515,104.115808,229.355595
0.44,fbm,1500,1500,1.0,1.0,both,,0.416295,7.756801
0.1,mixed_fbm,1000,500,0.2,0.002,both,60.8679,30.485948,107.455996
0.45,fbm,1500,1500,1.0,1.0,both,,0.279597,5.29077
0.46,fbm,1500,1500,1.0,1.0,both,,0.17336,3.32683
0.47,fbm,1500,1500,1.0,1.0,both,,0.09463,1.839139
0.11,mixed_fbm,1000,500,0.2,0.002,both,53.286136,26.029501,96.47446
0.48,fbm,1500,1500,1.0,1.0,both,,0.040879,0.803563
0.49,fbm,1500,1500,1.0,1.0,both,,0.009949,0.197547
0.5,fbm,1500,1500,1.0,1.0,both,,0.0,0.0
0.03,mixed_fbm,500,250,10.0,0.004,both,231.311694,105.07188,232.388318
0.51,fbm,1500,1500,1.0,1.0,both,,0.009471,0.191184
0.52,fbm,1500,1500,1.0,1.0,both,,0.03704,0.752617
0.53,fbm,1500,1500,1.0,1.0,both,,0.081593,1.666982
0.12,mixed_fbm,1000,500,0.2,0.002,both,46.398934,22.18751,86.389834
0.54,fbm,1500,1500,1.0,1.0,both,,0.142195,2.918038
0.55,fbm,1500,1500,1.0,1.0,both,,0.218077,4.490545
0.13,mixed_fbm,1000,500,0.2,0.002,both,40.167729,18.873938,77.132984
0.56,fbm,1500,1500,1.0,1.0,both,,0.308582,6.370195
0.04,mixed_fbm,500,250,10.0,0.004,both,206.493242,90.555476,207.308756
0.57,fbm,1500,1500,1.0,1.0,both,,0.413183,8.543537
0.14,mixed_fbm,1000,500,0.2,0.002,both,34.556426,16.016552,68.645321
0.58,fbm,1500,1500,1.0,1.0,both,,0.53145,10.997925
0.59,fbm,1500,1500,1.0,1.0,both,,0.663025,13.721457
0.15,mixed_fbm,1000,500,0.2,0.002,both,29.530424,13.554348,60.876121
0.6,fbm,1500,1500,1.0,1.0,both,,0.807622,16.702923
0.61,fbm,1500,1500,1.0,1.0,both,,0.965007,19.931758
0.16,mixed_fbm,1000,500,0.2,0.002,both,25.055833,11.436191,53.780508
0.62,fbm,1500,1500,1.0,1.0,both,,1.134967,23.397997
0.63,fbm,1500,1500,1.0,1.0,both,,1.317477,27.092236
0.17,mixed_fbm,1000,500,0.2,0.002,both,21.098877,9.615349,47.317928
0.05,mixed_fbm,500,250,10.0,0.004,both,186.327647,78.947138,186.982599
0.01,mixed_fbm,1250,625,0.2,0.0016,both,235.653025,173.596168,369.638214
0.64,fbm,1500,1500,1.0,1.0,both,,1.512275,31.005592
0.18,mixed_fbm,1000,500,0.2,0.002,both,17.625473,8.05803,41.450968
0.65,fbm,1500,1500,1.0,1.0,both,,1.719305,35.129669
0.19,mixed_fbm,1000,500,0.2,0.002,both,14.600987,6.726412,36.144433
0.66,fbm,1500,1500,1.0,1.0,both,,1.938446,39.456527
0.06,mixed_fbm,500,250,10.0,0.004,both,169.289576,69.311959,169.835859
0.2,mixed_fbm,1000,500,0.2,0.002,both,11.990157,5.59169,31.364636
0.01,mixed_fbm,750,375,10.0,0.002667,both,496.618419,235.1236,385.52893
0.67,fbm,1500,1500,1.0,1.0,both,,2.16951,43.978651
0.07,mixed_fbm,500,250,10.0,0.004,both,154.517337,61.130298,154.985115
0.68,fbm,1500,1500,1.0,1.0,both,,2.413076,48.688925
0.08,mixed_fbm,500,250,10.0,0.004,both,141.475988,54.061899,141.884301
0.69,fbm,1500,1500,1.0,1.0,both,,2.668309,53.580603
0.21,mixed_fbm,1000,500,0.2,0.002,both,9.757195,4.629505,27.078592
0.09,mixed_fbm,500,250,10.0,0.004,both,129.810341,47.90758,130.171956
0.04,mixed_fbm,500,250,5.0,0.004,both,201.987295,89.842101,204.984591
0.1,mixed_fbm,500,250,10.0,0.004,both,119.272271,42.501108,119.596158
0.22,mixed_fbm,1000,500,0.2,0.002,both,7.866039,3.816287,23.254963
0.11,mixed_fbm,500,250,10.0,0.004,both,109.681366,37.730034,109.974067
0.12,mixed_fbm,500,250,10.0,0.004,both,100.902091,33.498211,101.168522
0.13,mixed_fbm,500,250,10.0,0.004,both,92.829793,29.752305,93.073744
0.23,mixed_fbm,1000,500,0.2,0.002,both,6.280739,3.131904,19.861172
0.14,mixed_fbm,500,250,10.0,0.004,both,85.381742,26.421925,85.606199
0.15,mixed_fbm,500,250,10.0,0.004,both,78.491177,23.455484,78.698535
0.16,mixed_fbm,500,250,10.0,0.004,both,72.103232,20.816249,72.295444
0.24,mixed_fbm,1000,500,0.2,0.002,both,4.965941,2.557358,16.865844
0.17,mixed_fbm,500,250,10.0,0.004,both,66.172077,18.467015,66.350756
0.18,mixed_fbm,500,250,10.0,0.004,both,60.658858,16.372329,60.825354
0.19,mixed_fbm,500,250,10.0,0.004,both,55.530196,14.505587,55.68565
0.25,mixed_fbm,1000,500,0.2,0.002,both,3.88741,2.079683,14.237947
0.2,mixed_fbm,500,250,10.0,0.004,both,50.757073,12.840977,50.902457
0.21,mixed_fbm,500,250,10.0,0.004,both,46.313982,11.357588,46.45013
0.22,mixed_fbm,500,250,10.0,0.004,both,42.178289,10.034907,42.305922
0.26,mixed_fbm,1000,500,0.2,0.002,both,3.012569,1.683003,11.946243
0.23,mixed_fbm,500,250,10.0,0.004,both,38.329733,8.855468,38.449476
0.24,mixed_fbm,500,250,10.0,0.004,both,34.750038,7.803633,34.862435
0.25,mixed_fbm,500,250,10.0,0.004,both,31.422607,6.865714,31.528132
0.27,mixed_fbm,1000,500,0.2,0.002,both,2.310978,1.35501,9.960271
0.26,mixed_fbm,500,250,10.0,0.004,both,28.332281,6.02837,28.431346
0.27,mixed_fbm,500,250,10.0,0.004,both,25.46514,5.283176,25.558104
0.28,mixed_fbm,500,250,10.0,0.004,both,22.808348,4.61816,22.895523
0.28,mixed_fbm,1000,500,0.2,0.002,both,1.754736,1.085023,8.250615
0.29,mixed_fbm,500,250,10.0,0.004,both,20.350024,4.024674,20.43168
0.3,mixed_fbm,500,250,10.0,0.004,both,18.079137,3.497383,18.155504
0.31,mixed_fbm,500,250,10.0,0.004,both,15.985412,3.02728,16.056687
0.29,mixed_fbm,1000,500,0.2,0.002,both,1.318754,0.86317,6.788364
0.32,mixed_fbm,500,250,10.0,0.004,both,14.059263,2.609169,14.125612
0.05,mixed_fbm,500,250,5.0,0.004,both,182.667735,78.380529,185.102149
0.33,mixed_fbm,500,250,10.0,0.004,both,12.291725,2.237606,12.353285
0.34,mixed_fbm,500,250,10.0,0.004,both,10.674402,1.908021,10.731287
0.35,mixed_fbm,500,250,10.0,0.004,both,9.199419,1.616159,9.251721
0.3,mixed_fbm,1000,500,0.2,0.002,both,0.980905,0.685326,5.546154
0.36,mixed_fbm,500,250,10.0,0.004,both,7.859379,1.358354,7.907174
0.37,mixed_fbm,500,250,10.0,0.004,both,6.647331,1.131273,6.690681
0.38,mixed_fbm,500,250,10.0,0.004,both,5.556731,0.931735,5.59569
0.39,mixed_fbm,500,250,10.0,0.004,both,4.581415,0.758142,4.616033
0.4,mixed_fbm,500,250,10.0,0.004,both,3.715569,0.606865,3.745902
0.31,mixed_fbm,1000,500,0.2,0.002,both,0.722047,0.539755,4.498092
0.41,mixed_fbm,500,250,10.0,0.004,both,2.953706,0.476815,2.97982
0.42,mixed_fbm,500,250,10.0,0.004,both,2.290635,0.365722,2.312619
0.43,mixed_fbm,500,250,10.0,0.004,both,1.721444,0.272357,1.739419
