H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.74,fbm,1000,1000,1.0,1.0,both,,,53.741963
0.12,mixed_fbm,250,125,0.2,0.008,both,4.438755,4.534304,
0.04,mixed_fbm,250,125,10.0,0.008,both,93.461717,45.236117,
0.55,fbm,1250,1250,1.0,1.0,both,,,3.741377
0.75,fbm,1000,1000,1.0,1.0,both,,,57.65251
0.38,fbm,1500,1500,1.0,1.0,both,,,34.796315
0.05,mixed_fbm,500,250,0.2,0.004,both,37.93608,29.521475,
0.56,fbm,1250,1250,1.0,1.0,both,,,5.307661
0.39,fbm,1500,1500,1.0,1.0,both,,,28.660601
0.57,fbm,1250,1250,1.0,1.0,both,,,7.118775
0.02,mixed_fbm,500,250,1.0,0.004,both,176.658597,97.778812,
0.13,mixed_fbm,250,125,0.2,0.008,both,3.783781,3.909492,
0.4,fbm,1500,1500,1.0,1.0,both,,,23.226444
0.58,fbm,1250,1250,1.0,1.0,both,,,9.164198
0.09,mixed_fbm,250,125,1.0,0.008,both,40.904266,20.389228,
0.41,fbm,1500,1500,1.0,1.0,both,,,18.45443
0.59,fbm,1250,1250,1.0,1.0,both,,,11.434026
0.14,mixed_fbm,250,125,0.2,0.008,both,3.20716,3.362539,
0.02,mixed_fbm,500,250,10.0,0.004,both,263.901413,124.43895,
0.42,fbm,1500,1500,1.0,1.0,both,,,14.307874
0.6,fbm,1250,1250,1.0,1.0,both,,,13.91893
0.43,fbm,1500,1500,1.0,1.0,both,,,10.752609
0.1,mixed_fbm,250,125,1.0,0.008,both,37.631843,18.274609,
0.15,mixed_fbm,250,125,0.2,0.008,both,2.702548,2.88491,
0.05,mixed_fbm,250,125,5.0,0.008,both,82.701676,39.540956,
0.61,fbm,1250,1250,1.0,1.0,both,,,16.610116
0.44,fbm,1500,1500,1.0,1.0,both,,,7.756801
0.02,mixed_fbm,500,250,5.0,0.004,both,255.628026,123.023409,
0.62,fbm,1250,1250,1.0,1.0,both,,,19.499289
0.45,fbm,1500,1500,1.0,1.0,both,,,5.29077
0.63,fbm,1250,1250,1.0,1.0,both,,,22.578619
0.06,mixed_fbm,500,250,0.2,0.004,both,33.685972,25.484023,
0.16,mixed_fbm,250,125,0.2,0.008,both,2.263711,2.468555,
0.64,fbm,1250,1250,1.0,1.0,both,,,25.84071
0.46,fbm,1500,1500,1.0,1.0,both,,,3.32683
0.65,fbm,1250,1250,1.0,1.0,both,,,29.278571
0.47,fbm,1500,1500,1.0,1.0,both,,,1.839139
0.66,fbm,1250,1250,1.0,1.0,both,,,32.88559
0.17,mixed_fbm,250,125,0.2,0.008,both,1.884554,2.106429,
0.05,mixed_fbm,250,125,10.0,0.008,both,84.646942,39.921114,
0.11,mixed_fbm,250,125,1.0,0.008,both,34.591459,16.376687,
0.48,fbm,1500,1500,1.0,1.0,both,,,0.803563
0.67,fbm,1250,1250,1.0,1.0,both,,,36.655509
0.02,mixed_fbm,750,375,0.2,0.002667,both,99.758107,77.376027,
0.68,fbm,1250,1250,1.0,1.0,both,,,40.582404
0.49,fbm,1500,1500,1.0,1.0,both,,,0.197547
0.18,mixed_fbm,250,125,0.2,0.008,both,1.559154,1.792428,
0.01,mixed_fbm,1000,500,0.2,0.002,both,170.321734,131.948123,
0.69,fbm,1250,1250,1.0,1.0,both,,,44.660658
0.5,fbm,1500,1500,1.0,1.0,both,,,0.0
0.7,fbm,1250,1250,1.0,1.0,both,,,48.884948
0.07,mixed_fbm,500,250,0.2,0.004,both,29.798177,22.003131,
0.71,fbm,1250,1250,1.0,1.0,both,,,53.250224
0.51,fbm,1500,1500,1.0,1.0,both,,,0.191184
0.72,fbm,1250,1250,1.0,1.0,both,,,57.751695
0.52,fbm,1500,1500,1.0,1.0,both,,,0.752617
0.19,mixed_fbm,250,125,0.2,0.008,both,1.281812,1.520886,
0.12,mixed_fbm,250,125,1.0,0.008,both,31.761445,14.669682,
0.53,fbm,1500,1500,1.0,1.0,both,,,1.666982
0.06,mixed_fbm,250,125,5.0,0.008,both,75.490002,35.139613,
0.01,mixed_fbm,750,375,1.0,0.002667,both,322.787898,179.819386,
0.54,fbm,1500,1500,1.0,1.0,both,,,2.918038
0.55,fbm,1500,1500,1.0,1.0,both,,,4.490545
0.13,mixed_fbm,250,125,1.0,0.008,both,29.123807,13.132326,
0.03,mixed_fbm,500,250,1.0,0.004,both,160.54567,84.425325,
0.2,mixed_fbm,250,125,0.2,0.008,both,1.047087,1.28663,
0.56,fbm,1500,1500,1.0,1.0,both,,,6.370195
0.06,mixed_fbm,250,125,10.0,0.008,both,77.14497,35.460881,
0.57,fbm,1500,1500,1.0,1.0,both,,,8.543537
0.08,mixed_fbm,500,250,0.2,0.004,both,26.249367,18.989777,
0.58,fbm,1500,1500,1.0,1.0,both,,,10.997925
0.59,fbm,1500,1500,1.0,1.0,both,,,13.721457
0.21,mixed_fbm,250,125,0.2,0.008,both,0.849846,1.085158,
0.07,mixed_fbm,250,125,5.0,0.008,both,69.168036,31.358492,
0.6,fbm,1500,1500,1.0,1.0,both,,,16.702923
0.14,mixed_fbm,250,125,1.0,0.008,both,26.663389,11.746481,
0.61,fbm,1500,1500,1.0,1.0,both,,,19.931758
0.62,fbm,1500,1500,1.0,1.0,both,,,23.397997
0.09,mixed_fbm,500,250,0.2,0.004,both,23.018837,16.373323,
0.22,mixed_fbm,250,125,0.2,0.008,both,0.685294,0.912492,
0.63,fbm,1500,1500,1.0,1.0,both,,,27.092236
0.64,fbm,1500,1500,1.0,1.0,both,,,31.005592
0.15,mixed_fbm,250,125,1.0,0.008,both,24.367258,10.496388,
0.65,fbm,1500,1500,1.0,1.0,both,,,35.129669
0.07,mixed_fbm,250,125,10.0,0.008,both,70.607423,31.637536,
0.03,mixed_fbm,500,250,5.0,0.004,both,225.467515,104.115808,
0.03,mixed_fbm,500,250,10.0,0.004,both,231.311694,105.07188,
0.23,mixed_fbm,250,125,0.2,0.008,both,0.549006,0.764773,
0.66,fbm,1500,1500,1.0,1.0,both,,,39.456527
0.1,mixed_fbm,500,250,0.2,0.004,both,20.087787,14.098437,
0.16,mixed_fbm,250,125,1.0,0.008,both,22.224245,9.369195,
0.67,fbm,1500,1500,1.0,1.0,both,,,43.978651
0.68,fbm,1500,1500,1.0,1.0,both,,,48.688925
0.69,fbm,1500,1500,1.0,1.0,both,,,53.580603
0.17,mixed_fbm,250,125,1.0,0.008,both,20.2246,8.352338,
0.24,mixed_fbm,250,125,0.2,0.008,both,0.436942,0.638843,
0.03,mixed_fbm,750,375,0.2,0.002667,both,89.605225,65.658052,
0.08,mixed_fbm,250,125,5.0,0.008,both,63.54084,28.061769,
0.11,mixed_fbm,500,250,0.2,0.004,both,17.438768,12.118838,
0.08,mixed_fbm,250,125,10.0,0.008,both,64.813456,28.309004,
0.18,mixed_fbm,250,125,1.0,0.008,both,18.35972,7.435191,
0.25,mixed_fbm,250,125,0.2,0.008,both,0.345463,0.531881,
0.19,mixed_fbm,250,125,1.0,0.008,both,16.621945,6.608335,
0.04,mixed_fbm,500,250,1.0,0.004,both,146.576696,73.723589,
0.09,mixed_fbm,250,125,5.0,0.008,both,58.474723,25.159094,
0.01,mixed_fbm,750,375,5.0,0.002667,both,475.428545,231.588006,
0.01,mixed_fbm,750,375,10.0,0.002667,both,496.618419,235.1236,
0.26,mixed_fbm,250,125,0.2,0.008,both,0.271325,0.441215,
0.12,mixed_fbm,500,250,0.2,0.004,both,15.055242,10.395614,
0.2,mixed_fbm,250,125,1.0,0.008,both,15.00439,5.863133,
0.09,mixed_fbm,250,125,10.0,0.008,both,59.614156,25.379629,
0.01,mixed_fbm,1000,500,5.0,0.002,both,657.952545,311.935341,
0.27,mixed_fbm,250,125,0.2,0.008,both,0.211668,0.364625,
0.21,mixed_fbm,250,125,1.0,0.008,both,13.50081,5.191965,
0.1,mixed_fbm,250,125,5.0,0.008,both,53.873967,22.583128,
0.13,mixed_fbm,500,250,0.2,0.004,both,12.921251,8.89691,
0.28,mixed_fbm,250,125,0.2,0.008,both,0.164007,0.300178,
0.22,mixed_fbm,250,125,1.0,0.008,both,12.105496,4.587818,
0.04,mixed_fbm,500,250,5.0,0.004,both,201.987295,89.842101,
0.04,mixed_fbm,500,250,10.0,0.004,both,206.493242,90.555476,
0.05,mixed_fbm,500,250,1.0,0.004,both,134.222751,64.797828,
0.02,mixed_fbm,1000,500,0.2,0.002,both,153.335175,109.864329,
0.1,mixed_fbm,250,125,10.0,0.008,both,54.904288,22.782268,
0.14,mixed_fbm,500,250,0.2,0.004,both,11.021163,7.59462,
0.11,mixed_fbm,250,125,5.0,0.008,both,49.667635,20.285578,
0.29,mixed_fbm,250,125,0.2,0.008,both,0.126196,0.245934,
0.23,mixed_fbm,250,125,1.0,0.008,both,10.813184,4.044475,
0.24,mixed_fbm,250,125,1.0,0.008,both,9.618978,3.556334,
0.3,mixed_fbm,250,125,0.2,0.008,both,0.096413,0.20073,
0.01,mixed_fbm,1000,500,10.0,0.002,both,686.051081,315.43591,
0.25,mixed_fbm,250,125,1.0,0.008,both,8.518285,3.118066,
0.15,mixed_fbm,500,250,0.2,0.004,both,9.339493,6.46497,
0.04,mixed_fbm,750,375,0.2,0.002667,both,80.314227,56.014943,
0.26,mixed_fbm,250,125,1.0,0.008,both,7.506762,2.725319,
0.11,mixed_fbm,250,125,10.0,0.008,both,50.606665,20.465873,
0.31,mixed_fbm,250,125,0.2,0.008,both,0.073117,0.162909,
0.27,mixed_fbm,250,125,1.0,0.008,both,6.580267,2.373672,
0.12,mixed_fbm,250,125,5.0,0.008,both,45.801634,18.227943,
0.16,mixed_fbm,500,250,0.2,0.004,both,7.860799,5.487008,
0.28,mixed_fbm,250,125,1.0,0.008,both,5.734809,2.059473,
0.32,mixed_fbm,250,125,0.2,0.008,both,0.055025,0.131669,
0.01,mixed_fbm,1000,500,1.0,0.002,both,457.350135,244.56287,
0.29,mixed_fbm,250,125,1.0,0.008,both,4.966516,1.779178,
0.33,mixed_fbm,250,125,0.2,0.008,both,0.041075,0.105605,
0.3,mixed_fbm,250,125,1.0,0.008,both,4.271592,1.529786,
0.12,mixed_fbm,250,125,10.0,0.008,both,46.662931,18.392963,
0.06,mixed_fbm,500,250,1.0,0.004,both,123.142902,57.181405,
0.17,mixed_fbm,500,250,0.2,0.004,both,6.56963,4.642482,
0.31,mixed_fbm,250,125,1.0,0.008,both,3.64629,1.308398,
0.34,mixed_fbm,250,125,0.2,0.008,both,0.030397,0.083848,
0.32,mixed_fbm,250,125,1.0,0.008,both,3.086883,1.112468,
0.02,mixed_fbm,750,375,1.0,0.002667,both,289.48263,149.882755,
0.13,mixed_fbm,250,125,10.0,0.008,both,43.027826,16.530621,
0.01,mixed_fbm,1250,625,0.2,0.0016,both,235.653025,173.596168,
0.13,mixed_fbm,250,125,5.0,0.008,both,42.233716,16.380071,
0.35,mixed_fbm,250,125,0.2,0.008,both,0.022286,0.066539,
0.33,mixed_fbm,250,125,1.0,0.008,both,2.589637,0.939628,
0.18,mixed_fbm,500,250,0.2,0.004,both,5.450543,3.914939,
0.36,mixed_fbm,250,125,0.2,0.008,both,0.016173,0.051981,
0.05,mixed_fbm,750,375,0.2,0.002667,both,71.799306,47.95227,
0.34,mixed_fbm,250,125,1.0,0.008,both,2.150798,0.787751,
0.14,mixed_fbm,250,125,10.0,0.008,both,39.665472,14.85618,
0.35,mixed_fbm,250,125,1.0,0.008,both,1.766575,0.654912,
0.37,mixed_fbm,250,125,0.2,0.008,both,0.011604,0.040567,
0.19,mixed_fbm,500,250,0.2,0.004,both,4.488166,3.290304,
0.36,mixed_fbm,250,125,1.0,0.008,both,1.433137,0.539283,
0.14,mixed_fbm,250,125,5.0,0.008,both,38.930189,14.717104,
0.05,mixed_fbm,500,250,10.0,0.004,both,186.327647,78.947138,
0.05,mixed_fbm,500,250,5.0,0.004,both,182.667735,78.380529,
0.37,mixed_fbm,250,125,1.0,0.008,both,1.146612,0.439207,
0.38,mixed_fbm,250,125,0.2,0.008,both,0.00822,0.030916,
0.38,mixed_fbm,250,125,1.0,0.008,both,0.9031,0.353218,
0.15,mixed_fbm,250,125,10.0,0.008,both,36.546885,13.346414,
0.39,mixed_fbm,250,125,0.2,0.008,both,0.005737,0.023412,
0.15,mixed_fbm,250,125,5.0,0.008,both,35.863688,13.218445,
0.39,mixed_fbm,250,125,1.0,0.008,both,0.698689,0.279888,
0.4,mixed_fbm,250,125,1.0,0.008,both,0.529479,0.217917,
0.2,mixed_fbm,500,250,0.2,0.004,both,3.6673,2.755559,
0.4,mixed_fbm,250,125,0.2,0.008,both,0.003936,0.017426,
0.41,mixed_fbm,250,125,1.0,0.008,both,0.391618,0.166149,
0.16,mixed_fbm,250,125,5.0,0.008,both,33.011626,11.866254,
0.16,mixed_fbm,250,125,10.0,0.008,both,33.648248,11.984664,
0.42,mixed_fbm,250,125,1.0,0.008,both,0.28134,0.123441,
0.43,mixed_fbm,250,125,1.0,0.008,both,0.195005,0.088578,
0.41,mixed_fbm,250,125,0.2,0.008,both,0.002646,0.012599,
0.44,mixed_fbm,250,125,1.0,0.008,both,0.129141,0.061137,
0.17,mixed_fbm,250,125,5.0,0.008,both,30.355081,10.645426,
0.17,mixed_fbm,250,125,10.0,0.008,both,30.949689,10.75424,
0.07,mixed_fbm,500,250,1.0,0.004,both,113.103935,50.578703,
0.45,mixed_fbm,250,125,1.0,0.008,both,0.080489,0.039784,
0.21,mixed_fbm,500,250,0.2,0.004,both,2.97306,2.299505,
0.42,mixed_fbm,250,125,0.2,0.008,both,0.001734,0.008964,
0.46,mixed_fbm,250,125,1.0,0.008,both,0.046036,0.023828,
0.18,mixed_fbm,250,125,5.0,0.008,both,27.877991,9.542799,
0.47,mixed_fbm,250,125,1.0,0.008,both,0.023046,0.012497,
0.43,mixed_fbm,250,125,0.2,0.008,both,0.001101,0.006002,
0.48,mixed_fbm,250,125,1.0,0.008,both,0.009078,0.005136,
0.18,mixed_fbm,250,125,10.0,0.008,both,28.434405,9.644081,
0.19,mixed_fbm,250,125,5.0,0.008,both,25.566555,8.546285,
0.01,mixed_fbm,1250,625,5.0,0.0016,both,844.343605,391.21283,
0.44,mixed_fbm,250,125,0.2,0.008,both,0.000671,0.003964,
0.06,mixed_fbm,750,375,0.2,0.002667,both,63.991887,41.132825,
0.49,mixed_fbm,250,125,1.0,0.008,both,0.002004,0.001167,
0.22,mixed_fbm,500,250,0.2,0.004,both,2.391029,1.911777,
0.5,mixed_fbm,250,125,1.0,0.008,both,-0.0,0.0,
0.45,mixed_fbm,250,125,0.2,0.008,both,0.000386,0.002291,
0.51,mixed_fbm,250,125,1.0,0.008,both,0.001545,0.000987,
0.46,mixed_fbm,250,125,0.2,0.008,both,0.000205,0.001034,
0.2,mixed_fbm,250,125,5.0,0.008,both,23.40878,7.645617,
0.52,mixed_fbm,250,125,1.0,0.008,both,0.0054,0.003875,
0.47,mixed_fbm,250,125,0.2,0.008,both,9.6e-05,0.000522,
0.48,mixed_fbm,250,125,0.2,0.008,both,3.5e-05,4e-06,
0.53,mixed_fbm,250,125,1.0,0.008,both,0.010584,0.008164,
0.03,mixed_fbm,1000,500,0.2,0.002,both,137.895082,92.46219,
0.49,mixed_fbm,250,125,0.2,0.008,both,7e-06,1e-06,
0.5,mixed_fbm,250,125,0.2,0.008,both,0.0,0.0,
0.21,mixed_fbm,250,125,5.0,0.008,both,21.39414,6.83148,
0.51,mixed_fbm,250,125,0.2,0.008,both,5e-06,1e-06,
0.52,mixed_fbm,250,125,0.2,0.008,both,1.7e-05,2e-06,
0.54,mixed_fbm,250,125,1.0,0.008,both,0.016346,0.013603,
0.01,mixed_fbm,1500,750,0.2,0.001333,both,305.741828,216.402674,
0.19,mixed_fbm,250,125,10.0,0.008,both,26.087999,8.639997,
0.53,mixed_fbm,250,125,0.2,0.008,both,3.2e-05,5e-06,
0.22,mixed_fbm,250,125,5.0,0.008,both,19.513307,6.095495,
0.54,mixed_fbm,250,125,0.2,0.008,both,4.7e-05,8e-06,
0.55,mixed_fbm,250,125,1.0,0.008,both,0.022135,0.019826,
0.55,mixed_fbm,250,125,0.2,0.008,both,6.1e-05,0.000633,
0.23,mixed_fbm,500,250,0.2,0.004,both,1.907422,1.583414,
0.01,mixed_fbm,1250,625,10.0,0.0016,both,879.111194,396.570603,
0.06,mixed_fbm,500,250,10.0,0.004,both,169.289576,69.311959,
0.56,mixed_fbm,250,125,0.2,0.008,both,7.4e-05,0.000835,
0.56,mixed_fbm,250,125,1.0,0.008,both,0.027566,0.026355,
0.57,mixed_fbm,250,125,0.2,0.008,both,8.4e-05,0.001282,
0.57,mixed_fbm,250,125,1.0,0.008,both,0.032391,0.033594,
0.23,mixed_fbm,250,125,5.0,0.008,both,17.757944,5.430215,
0.2,mixed_fbm,250,125,10.0,0.008,both,23.898002,7.732377,
0.58,mixed_fbm,250,125,0.2,0.008,both,9.2e-05,0.001614,
0.24,mixed_fbm,500,250,0.2,0.004,both,1.509233,1.306405,
0.08,mixed_fbm,500,250,1.0,0.004,both,103.93886,44.799417,
0.59,mixed_fbm,250,125,0.2,0.008,both,9.8e-05,0.001842,
0.58,mixed_fbm,250,125,1.0,0.008,both,0.036466,0.040789,
0.6,mixed_fbm,250,125,0.2,0.008,both,0.000102,0.002074,
0.21,mixed_fbm,250,125,10.0,0.008,both,21.853494,6.911889,
0.61,mixed_fbm,250,125,0.2,0.008,both,0.000104,0.002296,
0.59,mixed_fbm,250,125,1.0,0.008,both,0.039735,0.047784,
0.07,mixed_fbm,750,375,0.2,0.002667,both,56.835964,35.317035,
0.25,mixed_fbm,500,250,0.2,0.004,both,1.184373,1.073101,
0.62,mixed_fbm,250,125,0.2,0.008,both,0.000105,0.002502,
0.24,mixed_fbm,250,125,5.0,0.008,both,16.120546,4.82898,
0.63,mixed_fbm,250,125,0.2,0.008,both,0.000104,0.002693,
0.06,mixed_fbm,500,250,5.0,0.004,both,166.212981,68.841247,
0.22,mixed_fbm,250,125,10.0,0.008,both,19.944826,6.170035,
0.6,mixed_fbm,250,125,1.0,0.008,both,0.042197,0.055052,
0.64,mixed_fbm,250,125,0.2,0.008,both,0.000103,0.002868,
0.23,mixed_fbm,250,125,10.0,0.008,both,18.16339,5.499187,
0.61,mixed_fbm,250,125,1.0,0.008,both,0.043894,0.061847,
0.65,mixed_fbm,250,125,0.2,0.008,both,0.0001,0.003028,
0.25,mixed_fbm,250,125,5.0,0.008,both,14.594304,4.285691,
0.62,mixed_fbm,250,125,1.0,0.008,both,0.044895,0.068411,
0.26,mixed_fbm,500,250,0.2,0.004,both,0.921774,0.878135,
0.66,mixed_fbm,250,125,0.2,0.008,both,9.7e-05,0.003581,
0.24,mixed_fbm,250,125,10.0,0.008,both,16.501451,4.892987,
0.09,mixed_fbm,500,250,1.0,0.004,both,95.523654,39.707663,
0.63,mixed_fbm,250,125,1.0,0.008,both,0.045283,0.074368,
0.27,mixed_fbm,500,250,0.2,0.004,both,0.711452,0.715844,
0.67,mixed_fbm,250,125,0.2,0.008,both,9.4e-05,0.003584,
0.26,mixed_fbm,250,125,5.0,0.008,both,13.173004,3.795113,
0.25,mixed_fbm,250,125,10.0,0.008,both,14.952004,4.344861,
0.68,mixed_fbm,250,125,0.2,0.008,both,9e-05,0.003489,
0.64,mixed_fbm,250,125,1.0,0.008,both,0.045149,0.080411,
0.03,mixed_fbm,750,375,1.0,0.002667,both,262.044565,128.209377,
0.26,mixed_fbm,250,125,10.0,0.008,both,13.508667,3.849821,
0.02,mixed_fbm,750,375,5.0,0.002667,both,404.653899,186.206696,
0.69,mixed_fbm,250,125,0.2,0.008,both,8.6e-05,0.003958,
0.27,mixed_fbm,250,125,5.0,0.008,both,11.850942,3.352043,
0.28,mixed_fbm,500,250,0.2,0.004,both,0.54454,0.580378,
0.08,mixed_fbm,750,375,0.2,0.002667,both,50.284807,30.328117,
0.7,mixed_fbm,250,125,0.2,0.008,both,8.3e-05,0.004053,
0.27,mixed_fbm,250,125,10.0,0.008,both,12.165591,3.402487,
0.65,mixed_fbm,250,125,1.0,0.008,both,0.044582,0.085766,
0.07,mixed_fbm,500,250,10.0,0.004,both,154.517337,61.130298,
0.28,mixed_fbm,250,125,5.0,0.008,both,10.622858,2.952341,
0.28,mixed_fbm,250,125,10.0,0.008,both,10.917388,2.998771,
0.71,mixed_fbm,250,125,0.2,0.008,both,7.9e-05,0.004144,
0.1,mixed_fbm,500,250,1.0,0.004,both,87.763389,35.201292,
0.66,mixed_fbm,250,125,1.0,0.008,both,0.043667,0.090603,
0.29,mixed_fbm,250,125,10.0,0.008,both,9.75907,2.634577,
0.72,mixed_fbm,250,125,0.2,0.008,both,7.5e-05,0.004217,
0.29,mixed_fbm,500,250,0.2,0.004,both,0.413282,0.469385,
0.29,mixed_fbm,250,125,5.0,0.008,both,9.483877,2.591777,
0.73,mixed_fbm,250,125,0.2,0.008,both,7.1e-05,0.003799,
0.67,mixed_fbm,250,125,1.0,0.008,both,0.042484,0.094921,
0.07,mixed_fbm,500,250,5.0,0.004,both,151.867798,60.725752,
0.74,mixed_fbm,250,125,0.2,0.008,both,6.8e-05,0.004335,
0.02,mixed_fbm,1000,500,5.0,0.002,both,557.916997,248.98863,
0.3,mixed_fbm,250,125,10.0,0.008,both,8.686004,2.306311,
0.75,mixed_fbm,250,125,0.2,0.008,both,6.4e-05,0.003913,
0.68,mixed_fbm,250,125,1.0,0.008,both,0.041101,0.099274,
0.3,mixed_fbm,250,125,5.0,0.008,both,8.429463,2.267055,
0.76,mixed_fbm,250,125,0.2,0.008,both,6.1e-05,0.003961,
0.3,mixed_fbm,500,250,0.2,0.004,both,0.310992,0.376961,
0.31,mixed_fbm,250,125,10.0,0.008,both,7.693871,2.010712,
0.77,mixed_fbm,250,125,0.2,0.008,both,5.8e-05,0.003968,
0.69,mixed_fbm,250,125,1.0,0.008,both,0.03958,0.103151,
0.11,mixed_fbm,500,250,1.0,0.004,both,80.583539,31.203999,
0.32,mixed_fbm,250,125,10.0,0.008,both,6.778632,1.744855,
0.78,mixed_fbm,250,125,0.2,0.008,both,5.5e-05,0.004422,
0.01,mixed_fbm,1500,750,10.0,0.001333,both,1074.895237,475.837902,
0.31,mixed_fbm,250,125,5.0,0.008,both,7.455383,1.974809,
0.09,mixed_fbm,750,375,0.2,0.002667,both,44.298568,26.031084,
0.31,mixed_fbm,500,250,0.2,0.004,both,0.23199,0.301352,
0.79,mixed_fbm,250,125,0.2,0.008,both,5.3e-05,0.004463,
0.33,mixed_fbm,250,125,10.0,0.008,both,5.9365,1.506224,
0.8,mixed_fbm,250,125,0.2,0.008,both,5e-05,0.004043,
0.7,mixed_fbm,250,125,1.0,0.008,both,0.037972,0.106181,
0.02,mixed_fbm,750,375,10.0,0.002667,both,416.818459,188.11928,
0.04,mixed_fbm,1000,500,0.2,0.002,both,123.801126,78.368949,
0.08,mixed_fbm,500,250,10.0,0.004,both,141.475988,54.061899,
0.81,mixed_fbm,250,125,0.2,0.008,both,4.8e-05,0.003996,
0.32,mixed_fbm,250,125,5.0,0.008,both,6.557672,1.712165,
0.82,mixed_fbm,250,125,0.2,0.008,both,4.6e-05,0.003056,
0.34,mixed_fbm,250,125,10.0,0.008,both,5.163916,1.292333,
0.02,mixed_fbm,1000,500,10.0,0.002,both,573.774241,251.191101,
0.83,mixed_fbm,250,125,0.2,0.008,both,4.4e-05,0.003054,
0.71,mixed_fbm,250,125,1.0,0.008,both,0.036319,0.109289,
0.32,mixed_fbm,500,250,0.2,0.004,both,0.171517,0.239566,
0.84,mixed_fbm,250,125,0.2,0.008,both,4.2e-05,0.003049,
0.85,mixed_fbm,250,125,0.2,0.008,both,4e-05,0.003042,
0.35,mixed_fbm,250,125,10.0,0.008,both,4.457528,1.101112,
0.86,mixed_fbm,250,125,0.2,0.008,both,3.9e-05,0.003033,
0.33,mixed_fbm,250,125,5.0,0.008,both,5.732604,1.476466,
0.72,mixed_fbm,250,125,1.0,0.008,both,0.034656,0.111804,
0.87,mixed_fbm,250,125,0.2,0.008,both,3.7e-05,0.003935,
0.36,mixed_fbm,250,125,10.0,0.008,both,3.814177,0.930673,
0.88,mixed_fbm,250,125,0.2,0.008,both,3.6e-05,0.003847,
0.37,mixed_fbm,250,125,10.0,0.008,both,3.230876,0.779188,
0.73,mixed_fbm,250,125,1.0,0.008,both,0.03301,0.113961,
0.34,mixed_fbm,250,125,5.0,0.008,both,4.976673,1.265499,
0.38,mixed_fbm,250,125,10.0,0.008,both,2.704799,0.645035,
0.12,mixed_fbm,500,250,1.0,0.004,both,73.924303,27.650125,
0.89,mixed_fbm,250,125,0.2,0.008,both,3.4e-05,0.003829,
0.33,mixed_fbm,500,250,0.2,0.004,both,0.125639,0.189182,
0.9,mixed_fbm,250,125,0.2,0.008,both,3.3e-05,0.003808,
0.35,mixed_fbm,250,125,5.0,0.008,both,4.286568,1.077012,
0.39,mixed_fbm,250,125,10.0,0.008,both,2.233272,0.527099,
0.74,mixed_fbm,250,125,1.0,0.008,both,0.031404,0.115561,
0.08,mixed_fbm,500,250,5.0,0.004,both,139.153222,53.714594,
0.4,mixed_fbm,250,125,10.0,0.008,both,1.813756,0.423939,
0.91,mixed_fbm,250,125,0.2,0.008,both,3.2e-05,0.003849,
0.41,mixed_fbm,250,125,10.0,0.008,both,1.44384,0.334412,
0.92,mixed_fbm,250,125,0.2,0.008,both,3.1e-05,0.003826,
0.01,mixed_fbm,1500,750,5.0,0.001333,both,1033.653576,469.609127,
0.1,mixed_fbm,750,375,0.2,0.002667,both,38.842489,22.320225,
0.34,mixed_fbm,500,250,0.2,0.004,both,0.091144,0.148609,
0.93,mixed_fbm,250,125,0.2,0.008,both,3e-05,0.003787,
0.75,mixed_fbm,250,125,1.0,0.008,both,0.029851,0.116775,
0.42,mixed_fbm,250,125,10.0,0.008,both,1.12123,0.257521,
0.36,mixed_fbm,250,125,5.0,0.008,both,3.659156,0.909112,
0.94,mixed_fbm,250,125,0.2,0.008,both,2.9e-05,0.003744,
0.43,mixed_fbm,250,125,10.0,0.008,both,0.843742,0.192151,
0.95,mixed_fbm,250,125,0.2,0.008,both,2.8e-05,0.00291,
0.96,mixed_fbm,250,125,0.2,0.008,both,2.7e-05,0.002892,
0.76,mixed_fbm,250,125,1.0,0.008,both,0.028364,0.118589,
0.97,mixed_fbm,250,125,0.2,0.008,both,2.7e-05,0.002873,
0.44,mixed_fbm,250,125,10.0,0.008,both,0.609292,0.137856,
0.13,mixed_fbm,500,250,1.0,0.004,both,67.736764,24.487331,
0.98,mixed_fbm,250,125,0.2,0.008,both,2.6e-05,0.002854,
0.35,mixed_fbm,500,250,0.2,0.004,both,0.065443,0.115417,
0.45,mixed_fbm,250,125,10.0,0.008,both,0.415885,0.093428,
0.37,mixed_fbm,250,125,5.0,0.008,both,3.091466,0.76014,
0.46,mixed_fbm,250,125,10.0,0.008,both,0.26161,0.058413,
0.47,mixed_fbm,250,125,10.0,0.008,both,0.14463,0.03206,
0.09,mixed_fbm,500,250,10.0,0.004,both,129.810341,47.90758,
0.77,mixed_fbm,250,125,1.0,0.008,both,0.026951,0.119156,
0.48,mixed_fbm,250,125,10.0,0.008,both,0.063172,0.013928,
0.02,mixed_fbm,1000,500,1.0,0.002,both,408.381634,201.90375,
0.49,mixed_fbm,250,125,10.0,0.008,both,0.015519,0.003384,
0.38,mixed_fbm,250,125,5.0,0.008,both,2.580672,0.628501,
0.5,mixed_fbm,250,125,10.0,0.008,both,0.0,-0.0,
0.51,mixed_fbm,250,125,10.0,0.008,both,0.014979,0.003245,
0.52,mixed_fbm,250,125,10.0,0.008,both,0.058844,0.01279,
0.39,mixed_fbm,250,125,5.0,0.008,both,2.12408,0.512736,
