H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.22,fbm,500,500,1.0,1.0,both,,,88.219387
0.18,fbm,750,750,1.0,1.0,both,,,195.784118
0.41,fbm,250,250,1.0,1.0,both,,,3.006183
0.09,fbm,1250,1250,1.0,1.0,both,,,741.7519
0.42,fbm,250,250,1.0,1.0,both,,,2.334826
0.13,fbm,1000,1000,1.0,1.0,both,,,412.264477
0.43,fbm,250,250,1.0,1.0,both,,,1.757589
0.23,fbm,500,500,1.0,1.0,both,,,80.039811
0.19,fbm,750,750,1.0,1.0,both,,,178.720736
0.44,fbm,250,250,1.0,1.0,both,,,1.269907
0.24,fbm,500,500,1.0,1.0,both,,,72.451769
0.45,fbm,250,250,1.0,1.0,both,,,0.867476
0.1,fbm,1250,1250,1.0,1.0,both,,,678.619053
0.07,fbm,1500,1500,1.0,1.0,both,,,1080.96074
0.2,fbm,750,750,1.0,1.0,both,,,162.904071
0.46,fbm,250,250,1.0,1.0,both,,,0.54624
0.47,fbm,250,250,1.0,1.0,both,,,0.302378
0.25,fbm,500,500,1.0,1.0,both,,,65.416875
0.48,fbm,250,250,1.0,1.0,both,,,0.132284
0.49,fbm,250,250,1.0,1.0,both,,,0.03256
0.14,fbm,1000,1000,1.0,1.0,both,,,377.769265
0.26,fbm,500,500,1.0,1.0,both,,,58.900025
0.21,fbm,750,750,1.0,1.0,both,,,148.240829
0.5,fbm,250,250,1.0,1.0,both,,,0.0
0.51,fbm,250,250,1.0,1.0,both,,,0.031581
0.02,mixed_fbm,250,125,0.2,0.008,both,16.788646,18.297244,
0.11,fbm,1250,1250,1.0,1.0,both,,,621.378754
0.52,fbm,250,250,1.0,1.0,both,,,0.12445
0.22,fbm,750,750,1.0,1.0,both,,,134.647755
0.27,fbm,500,500,1.0,1.0,both,,,52.86898
0.53,fbm,250,250,1.0,1.0,both,,,0.275914
0.08,fbm,1500,1500,1.0,1.0,both,,,985.045274
0.15,fbm,1000,1000,1.0,1.0,both,,,345.991187
0.54,fbm,250,250,1.0,1.0,both,,,0.483433
0.28,fbm,500,500,1.0,1.0,both,,,47.294019
0.23,fbm,750,750,1.0,1.0,both,,,122.049975
0.12,fbm,1250,1250,1.0,1.0,both,,,569.192713
0.55,fbm,250,250,1.0,1.0,both,,,0.744607
0.29,fbm,500,500,1.0,1.0,both,,,42.147662
0.56,fbm,250,250,1.0,1.0,both,,,1.057171
0.16,fbm,1000,1000,1.0,1.0,both,,,316.661802
0.57,fbm,250,250,1.0,1.0,both,,,1.418985
0.3,fbm,500,500,1.0,1.0,both,,,37.404436
0.24,fbm,750,750,1.0,1.0,both,,,110.379696
0.58,fbm,250,250,1.0,1.0,both,,,1.828029
0.13,fbm,1250,1250,1.0,1.0,both,,,521.41438
0.09,fbm,1500,1500,1.0,1.0,both,,,899.583478
0.31,fbm,500,500,1.0,1.0,both,,,33.040679
0.25,fbm,750,750,1.0,1.0,both,,,99.575198
0.59,fbm,250,250,1.0,1.0,both,,,2.282391
0.17,fbm,1000,1000,1.0,1.0,both,,,289.555329
0.6,fbm,250,250,1.0,1.0,both,,,2.780265
0.32,fbm,500,500,1.0,1.0,both,,,29.034376
0.26,fbm,750,750,1.0,1.0,both,,,89.580022
0.61,fbm,250,250,1.0,1.0,both,,,3.319946
0.18,fbm,1000,1000,1.0,1.0,both,,,264.47887
0.14,fbm,1250,1250,1.0,1.0,both,,,477.531595
0.33,fbm,500,500,1.0,1.0,both,,,25.365013
0.62,fbm,250,250,1.0,1.0,both,,,3.899819
0.63,fbm,250,250,1.0,1.0,both,,,4.518357
0.34,fbm,500,500,1.0,1.0,both,,,22.013456
0.1,fbm,1500,1500,1.0,1.0,both,,,822.682443
0.64,fbm,250,250,1.0,1.0,both,,,5.174116
0.35,fbm,500,500,1.0,1.0,both,,,18.961838
0.27,fbm,750,750,1.0,1.0,both,,,80.34232
0.19,fbm,1000,1000,1.0,1.0,both,,,241.265336
0.15,fbm,1250,1250,1.0,1.0,both,,,437.129107
0.65,fbm,250,250,1.0,1.0,both,,,5.865729
0.36,fbm,500,500,1.0,1.0,both,,,16.193465
0.28,fbm,750,750,1.0,1.0,both,,,71.814328
0.66,fbm,250,250,1.0,1.0,both,,,6.591903
0.37,fbm,500,500,1.0,1.0,both,,,13.69273
0.67,fbm,250,250,1.0,1.0,both,,,7.351414
0.2,fbm,1000,1000,1.0,1.0,both,,,219.768255
0.68,fbm,250,250,1.0,1.0,both,,,8.143104
0.38,fbm,500,500,1.0,1.0,both,,,11.445031
0.16,fbm,1250,1250,1.0,1.0,both,,,399.863302
0.69,fbm,250,250,1.0,1.0,both,,,8.965876
0.29,fbm,750,750,1.0,1.0,both,,,63.951923
0.7,fbm,250,250,1.0,1.0,both,,,9.818694
0.39,fbm,500,500,1.0,1.0,both,,,9.436702
0.01,mixed_fbm,500,250,0.2,0.004,both,59.179916,54.325298,
0.21,fbm,1000,1000,1.0,1.0,both,,,199.857896
0.71,fbm,250,250,1.0,1.0,both,,,10.700576
0.4,fbm,500,500,1.0,1.0,both,,,7.65495
0.3,fbm,750,750,1.0,1.0,both,,,56.714262
0.11,fbm,1500,1500,1.0,1.0,both,,,752.977874
0.01,mixed_fbm,250,125,10.0,0.008,both,137.711212,72.919639,
0.72,fbm,250,250,1.0,1.0,both,,,11.610595
0.02,mixed_fbm,250,125,1.0,0.008,both,73.810362,45.937574,
0.17,fbm,1250,1250,1.0,1.0,both,,,365.444705
0.41,fbm,500,500,1.0,1.0,both,,,6.087792
0.73,fbm,250,250,1.0,1.0,both,,,12.547874
0.74,fbm,250,250,1.0,1.0,both,,,13.511586
0.22,fbm,1000,1000,1.0,1.0,both,,,181.418336
0.31,fbm,750,750,1.0,1.0,both,,,50.06347
0.42,fbm,500,500,1.0,1.0,both,,,4.724001
0.75,fbm,250,250,1.0,1.0,both,,,14.50095
0.76,fbm,250,250,1.0,1.0,both,,,15.515232
0.43,fbm,500,500,1.0,1.0,both,,,3.553054
0.32,fbm,750,750,1.0,1.0,both,,,43.964373
0.18,fbm,1250,1250,1.0,1.0,both,,,333.625594
0.77,fbm,250,250,1.0,1.0,both,,,16.553742
0.23,fbm,1000,1000,1.0,1.0,both,,,164.345212
0.12,fbm,1500,1500,1.0,1.0,both,,,689.449224
0.44,fbm,500,500,1.0,1.0,both,,,2.56509
0.78,fbm,250,250,1.0,1.0,both,,,17.615835
0.33,fbm,750,750,1.0,1.0,both,,,38.384266
0.79,fbm,250,250,1.0,1.0,both,,,18.70091
0.8,fbm,250,250,1.0,1.0,both,,,19.808407
0.81,fbm,250,250,1.0,1.0,both,,,20.937815
0.45,fbm,500,500,1.0,1.0,both,,,1.750858
0.24,fbm,1000,1000,1.0,1.0,both,,,148.543972
0.34,fbm,750,750,1.0,1.0,both,,,33.292716
